Textbox20
"MassDOT makes no representation as to the accuracy, adequacy, reliability, availability or completeness of the crash records or the data collected from them and is not responsible for any errors or omissions in such records or data. Under no circumstance will MassDOT have any liability for any loss or damage incurred by any party as a result of the use of the crash records or the data collected from them. Furthermore, the data contained in the web-based crash report tool are not an official record of what transpired in a particular crash or for a particular crash type. If a user is interested in an official copy of a crash report, contact the Registry (http://www.mass.gov/rmv/).

The City of Boston Police Department may be contacted directly for official copies of crash reports and for crash data pertaining to the City of Boston. In addition, any crash records or data provided for the years 2022 and later are subject to change at any time and are not to be considered up-to-date or complete. As such, open years’ of crash data are for informational purposes only and should not be used for analysis.
4511983,SOMERVILLE,04-Jan-2018,3:20 AM,Non-fatal injury,Non-fatal injury - Possible,2,1,0,Single vehicle crash,V1: Backing / V2: Travelling straight ahead,V1: S  / V2: W,V2:(Collision with pedestrian),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Single-unit truck (2-axle, 6-tires))",Snow,Daylight,"Severe crosswinds/Blowing sand, snow",,5 SUMMER STREET,,,,,233106.97090618,903559.61365351
4508796,SOMERVILLE,04-Jan-2018,11:00 PM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: E  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Single-unit truck (3-or-more axles)) / V2:(Passenger car),Snow,Dark - lighted roadway,"Snow/Blowing sand, snow",DEARBORN ROAD / BROMFIELD ROAD,DEARBORN ROAD / BROMFIELD ROAD,,,,,231562.35924663,906130.37490084
4509629,SOMERVILLE,05-Jan-2018,10:33 AM,Non-fatal injury,Non-fatal injury - Non-incapacitating,2,1,0,Head-on,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Snow,Daylight,"Clear/Blowing sand, snow",NEW WASHINGTON STREET / INNER BELT ROAD,NEW WASHINGTON STREET / INNER BELT ROAD,,,,,234500.62484937,903396.31230629
4721996,SOMERVILLE,05-Jan-2018,6:15 PM,Non-fatal injury,Non-fatal injury - Possible,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Snow,Dark - lighted roadway,Snow,SOMERVILLE AVENUE / WASHINGTON STREET,SOMERVILLE AVENUE / WASHINGTON STREET,,,,,,
4509631,SOMERVILLE,05-Jan-2018,8:00 PM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Not reported / V2: Not reported,V1: Not Reported / V2: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Ice,Dark - lighted roadway,Clear,MEDFORD STREET / CENTRAL STREET,MEDFORD STREET / CENTRAL STREET,,,,,232887.57806388,904740.12491554
4487683,SOMERVILLE,07-Jan-2018,5:55 AM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,,MYSTIC AVENUE Rte SR38 N / TEMPLE STREET Rte TEMPLE,,,,,233835.27374236,905087.92674278
4509632,SOMERVILLE,07-Jan-2018,9:45 AM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, opposite direction",V1: Travelling straight ahead / V2: Travelling straight ahead,V1: Not Reported / V2: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Wet,Daylight,Clear,TEMPLE STREET / HEATH STREET,TEMPLE STREET / HEATH STREET,,,,,233546.87483249,904868.37477166
4483563,SOMERVILLE,08-Jan-2018,1:30 AM,Non-fatal injury,Non-fatal injury - Non-incapacitating,2,1,0,Angle,V1: Other / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - roadway not lighted,Cloudy,,Rte 93 S,,Exit 28 on Rte 93 S,,,234108.23329701,904851.77214765
4481799,SOMERVILLE,08-Jan-2018,11:42 AM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Slush,Daylight,Clear,MYSTIC AVENUE Rte SR38 S / SHORE DRIVE Rte SHORE E,MYSTIC AVENUE Rte SR38 S / SHORE DRIVE Rte SHORE E,,,MYSTIC RIVER APARTMENTS,,233646.85279068,905277.22994025
4509634,SOMERVILLE,08-Jan-2018,5:36 PM,Non-fatal injury,Non-fatal injury - Non-incapacitating,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: W,V1:(Collision with pedestrian),"V1:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - lighted roadway,Snow,,120 WASHINGTON STREET,,,, VU2: Pedestrian,233990.90780399,903478.42710034
4486899,SOMERVILLE,08-Jan-2018,8:30 PM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with median barrier) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Ice,Dark - lighted roadway,Cloudy,,INTERSTATE 93 Rte I93 S,,,HOV LANE,,,
4507972,SOMERVILLE,11-Jan-2018,5:58 PM,Not Reported,Not Applicable,3,0,0,Rear-end,V1: Other / V2: Parked / V3: Not reported,V1: Not Reported / V2: Not Reported / V3: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - lighted roadway,Clear,,236 POWDER HOUSE BOULEVARD,,,,,230512.69254496,906340.31811505
4504801,SOMERVILLE,11-Jan-2018,7:14 PM,Property damage only (none injured),No injury,3,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked / V3: Parked,V1: N  / V2: Not Reported / V3: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Bus (seats for 16 or more, including driver)) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - lighted roadway,Clear,DAY STREET / HERBERT STREET,DAY STREET / HERBERT STREET,,,,,231028.74977414,905104.93771588
4492183,SOMERVILLE,11-Jan-2018,7:40 PM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Travelling straight ahead / V2: Changing lanes,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Dark - lighted roadway,Clear,,Rte 93 S,,Exit 28 on Rte 93 S,,,234108.23329701,904851.77214765
4504798,SOMERVILLE,12-Jan-2018,8:42 AM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: S  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Single-unit truck (2-axle, 6-tires)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Wet,Daylight,Cloudy,WILLOW AVENUE / MALLET STREET,WILLOW AVENUE / MALLET STREET,,,,,231825.43764688,905462.93733222
4504799,SOMERVILLE,12-Jan-2018,10:42 AM,Non-fatal injury,Non-fatal injury - Incapacitating,1,1,0,Single vehicle crash,V1: Backing,V1: W,V1:(Collision with pedestrian),V1:(Single-unit truck (3-or-more axles)),Wet,Daylight,Cloudy,,405 ALEWIFE BROOK PARKWAY Rte 16 E,,,, VU2: Pedestrian,230357.68868196,907185.87399363
4509830,SOMERVILLE,12-Jan-2018,2:45 PM,Property damage only (none injured),No injury,3,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic / V3: Slowing or stopped in traffic,V1: Not Reported / V2: Not Reported / V3: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Wet,Daylight,Rain,WASHINGTON STREET / MYRTLE STREET,WASHINGTON STREET / MYRTLE STREET,,,,,234270.13166516,903546.12965043
4504800,SOMERVILLE,13-Jan-2018,11:32 AM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: E  / V2: E,V1:(Collision with parked motor vehicle),"V1:(Single-unit truck (2-axle, 6-tires)) / V2:(Passenger car)",Dry,Daylight,Cloudy/Clear,,483 BROADWAY,,,WINTER HILL LAUDROMAT,,232658.89133833,905243.61658554
4509628,SOMERVILLE,14-Jan-2018,6:14 AM,Unknown,Not Applicable,3,0,0,Unknown,V1: Unknown / V2: Parked / V3: Parked,V1: Not Reported / V2: Not Reported / V3: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Other) / V3:(Other),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Wet,Dark - lighted roadway,Clear/Unknown,,BRADLEY STREET / JACKSON ROAD,,,,,233474.40635242,904449.74974727
4509627,SOMERVILLE,15-Jan-2018,11:07 AM,Not Reported,Not Applicable,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: Not Reported,V1:(Collision with fence),V1:(Passenger car),Dry,Daylight,Clear/Clear,,75 MARSHALL STREET,,,,,233341.13349221,904378.37333243
4492511,SOMERVILLE,16-Jan-2018,8:50 AM,Property damage only (none injured),No injury,3,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead / V3: Travelling straight ahead,V1: S  / V2: S  / V3: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Slush,Daylight,Clear,,FELLSWAY Rte SR28 S / SHORE DRIVE,,,,,234231.94624781,905413.71077837
4487776,SOMERVILLE,16-Jan-2018,5:45 PM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Changing lanes / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Cloudy,Rte SR16 W,Rte SR16 W,,,,,,
4493951,SOMERVILLE,17-Jan-2018,7:40 AM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Reported but invalid) / V2:(Passenger car),Wet,Daylight,Snow,,Rte 93 S,,Exit 28 on Rte 93 S,,,234108.23329701,904851.77214765
4509626,SOMERVILLE,17-Jan-2018,12:13 PM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: W  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Snow,Daylight,Snow,MEACHAM ROAD / LESTER TERRACE,MEACHAM ROAD / LESTER TERRACE,,,,,230891.35918202,905208.25009998
4492513,SOMERVILLE,18-Jan-2018,6:17 AM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Travelling straight ahead / V2: Turning left,V1: W  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,MYSTIC AVENUE Rte UNKNOW / A ALFRED A LOMBARDI STREET,,,,,234776.40648163,904138.43736298
4509625,SOMERVILLE,18-Jan-2018,12:55 PM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,1114 BROADWAY,,,TEELE SQUARE, VU3: Pedestrian,230751.23124527,905893.91252075
4509624,SOMERVILLE,19-Jan-2018,2:30 PM,Non-fatal injury,Non-fatal injury - Non-incapacitating,2,1,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Not reported,V1: Not Reported / V2: Not Reported,V1:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,342 BROADWAY,,,,,233372.08120556,904823.68473201
4509623,SOMERVILLE,21-Jan-2018,3:20 AM,Non-fatal injury,Non-fatal injury - Non-incapacitating,3,1,0,Head-on,V1: Travelling straight ahead / V2: Parked / V3: Parked,V1: W  / V2: Not Reported / V3: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle) / V3:(Collision with parked motor vehicle),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Dark - lighted roadway,Clear,POWDER HOUSE BOULEVARD / NORTH STREET / POWDER HOUSE BOULEVARD,278 POWDER HOUSE BOULEVARD / NORTH STREET / POWDER HOUSE BOULEVARD,,,,,230436.48455759,906381.62507707
4509618,SOMERVILLE,22-Jan-2018,12:45 AM,Not Reported,Not Applicable,2,0,0,"Sideswipe, same direction",V1: Not reported / V2: Parked,V1: Not Reported / V2: Not Reported,,V1:(Unknown vehicle configuration) / V2:(Passenger car),Wet,Dark - lighted roadway,Not Reported,,WILSON AVENUE / BROADWAY,,,,,232220.71837398,905428.49977402
4492516,SOMERVILLE,22-Jan-2018,3:53 AM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,V1:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,,Rte 93 N,,Exit 29 on Rte 93 N,,,234354.59732924,904549.61509137
4509005,SOMERVILLE,22-Jan-2018,7:39 PM,Property damage only (none injured),No injury,1,0,0,Angle,V1: Turning left,V1: Not Reported,V1:(Collision with pedestrian),"V1:(Light truck(van, mini-van, pickup, sport utility))",Wet,Daylight,Rain,HOLLAND STREET / CAMERON AVENUE,HOLLAND STREET / CAMERON AVENUE,,,, VU2: Pedestrian,230777.81242991,905681.56235642
4492398,SOMERVILLE,23-Jan-2018,10:55 AM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,V1:(Collision with curb),"V1:(Light truck(van, mini-van, pickup, sport utility))",Wet,Daylight,Cloudy/Rain,,MCGRATH HIGHWAY Rte SR28 N / RAMP-RT 28 NB TO WASHINGTON ST,,,PRIOR TO WASHINGTON ST RAMP,,233856.32633605,903090.2800245
4509619,SOMERVILLE,24-Jan-2018,8:04 AM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: S  / V2: S,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Ice,Daylight,Cloudy,,10 SARGENT AVENUE,,,,,233533.94806848,904588.47832301
4509620,SOMERVILLE,24-Jan-2018,12:53 PM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Turning right,V1: E  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,ELM STREET / BEECH STREET,,,,,231352.08081555,904647.88192992
4509621,SOMERVILLE,26-Jan-2018,9:31 AM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Travelling straight ahead / V2: Turning left,V1: Not Reported / V2: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,406 HIGHLAND AVENUE,,,,,231233.74319121,905097.87678254
4496739,SOMERVILLE,26-Jan-2018,2:00 PM,Non-fatal injury,Non-fatal injury - Possible,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,FELLSWAY Rte SR28 N,,,RAMP FROM ASSEMBLY SQ,,,
4496740,SOMERVILLE,26-Jan-2018,2:50 PM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Travelling straight ahead / V2: Turning right,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,Rte 93 N,,Exit 28 on Rte 93 N,,,234954.6713138,903171.19704208
4509622,SOMERVILLE,26-Jan-2018,5:38 PM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,BROADWAY / WALNUT STREET,BROADWAY / WALNUT STREET,,,,,233694.98414462,904561.81272338
4509615,SOMERVILLE,27-Jan-2018,3:34 AM,Non-fatal injury,Non-fatal injury - Possible,3,1,0,Rear-end,V1: Travelling straight ahead / V2: Parked / V3: Parked,V1: S  / V2: Not Reported / V3: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle) / V3:(Collision with parked motor vehicle),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car) / V3:(Passenger car)",Dry,Dark - lighted roadway,Clear,,15 SPRING STREET,,,,,232193.96826228,903860.10655072
4509616,SOMERVILLE,28-Jan-2018,5:43 PM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Turning left,V1: N,V1:(Collision with highway traffic sign post),"V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear/Clear,SOMERVILLE AVENUE / BOW STREET / WARREN AVENUE,SOMERVILLE AVENUE / BOW STREET / WARREN AVENUE,,,,,232978.64494396,903485.94609838
4495055,SOMERVILLE,30-Jan-2018,2:05 AM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Travelling straight ahead / V2: Changing lanes,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,,Rte 93 N,,Exit 29 on Rte 93 N,,,234354.59732924,904549.61509137
4509617,SOMERVILLE,30-Jan-2018,7:36 AM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Parked,V1: Not Reported / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Ice,Daylight,Cloudy/Snow,BOSTON STREET / WASHINGTON STREET,BOSTON STREET / WASHINGTON STREET,,,,,233711.10958464,903344.74981025
4495057,SOMERVILLE,30-Jan-2018,8:40 AM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Snow,Daylight,Snow,,MYSTIC AVENUE Rte SR38 N / NEW ROAD,,,HOME DEPOT,,234513.32326935,904411.49467973
4495058,SOMERVILLE,31-Jan-2018,1:15 PM,Non-fatal injury,Non-fatal injury - Possible,3,1,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,V1: N  / V2: N  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Passenger car) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,FELLSWAY Rte SR28 N,,,RT 28 NB,,,
4495059,SOMERVILLE,31-Jan-2018,3:15 PM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,Rte 93 N,,Exit 31 on Rte 93 N,,,232872.0919172,906415.03184424
4521016,SOMERVILLE,01-Feb-2018,10:52 PM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: Not Reported,V1:(Collision with utility pole),V1:(Passenger car),Wet,Dark - lighted roadway,Rain,ELM STREET / RUSSELL STREET,ELM STREET / RUSSELL STREET,,,,,231214.37486231,904880.68734767
4497659,SOMERVILLE,02-Feb-2018,12:56 AM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: S,V1:(Collision with guardrail),"V1:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - lighted roadway,Cloudy,,INTERSTATE 93 Rte I93 S,,,IN HOV LANE PRIOR TO EXIT 28,,,
